"";"nombre";"subnombre";"precio";"year";"potencia";"km";"combustible";"puertas";"long";"alt";"anch";"peso";"url"
"1253";"Mercedes Clase Slk";"Slk 200k
";"11.850€";"10/2005";"163 cv";"71.000 km";"Gasolina";"2 puertas";"409 cm";"130 cm";"178 cm";"1.390 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-madrid.htm?id=2898587"
"1254";"Audi A3";"1.4 Tfsi Attraction
";"13.360€";"07/2012";"125 cv";"50.593 km";"Gasolina";"3 puertas";"424 cm";"142 cm";"177 cm";"1.255 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-14-tfsi-attraction-en-madrid.htm?id=2866369"
"1255";"Volkswagen Jetta";"1.6tdi Cr Edition
";"7.900€";"10/2009";"105 cv";"125.000 km";"Diesel";"4 puertas";"455 cm";"146 cm";"178 cm";"1.432 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-jetta-16tdi-cr-edition-en-madrid.htm?id=2905683"
"1256";"Volkswagen Golf";"1.6tdi Advance 115
";"18.600€";"04/2017";"115 cv";"8.851 km";"Diesel";"5 puertas";"426 cm";"149 cm";"179 cm";"1.301 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-advance-115-en-madrid.htm?id=2879228"
"1257";"Bmw Serie 3";"318d Touring (0.0)
";"18.700€";"10/2014";"143 cv";"69.000 km";"Diesel";"5 puertas";"462 cm";"143 cm";"181 cm";"1.550 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-318d-touring-00-en-madrid.htm?id=2888200"
"1258";"Peugeot 3008";"1.6e-hdi Blue L. Fap Allure Cmp 110
";"10.490€";"07/2013";"112 cv";"141.000 km";"Diesel";"5 puertas";"437 cm";"163 cm";"184 cm";"1.423 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-16e-hdi-blue-l-fap-allure-cmp-110-en-madrid.htm?id=2884791"
"1259";"Jeep Compass";"2.0 Mjt Limited 4x4 Ad Aut. 170
";"34.000€";"12/2017";"170 cv";"0 km";"Diesel";"5 puertas";"439 cm";"165 cm";"182 cm";"1.619 kg";"https://www.coches.com/km0/seminuevo-jeep-compass-20-mjt-limited-4x4-ad-aut-170-en-madrid.htm?id=2883440"
"1260";"Bmw Serie 3";"M3 Cabrio Dkg
";"37.500€";"05/2010";"420 cv";"67.000 km";"Gasolina";"2 puertas";"462 cm";"139 cm";"180 cm";"1.905 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-m3-cabrio-dkg-en-madrid.htm?id=2907302"
"1261";"Volkswagen Tiguan";"2.0tdi Sport 150
";"30.090€";"05/2017";"150 cv";"11.500 km";"Diesel";"5 puertas";"449 cm";"163 cm";"184 cm";"1.568 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-20tdi-sport-150-en-madrid.htm?id=2792724"
"1262";"Peugeot 308";"Sw 1.6 Vti Sport
";"6.999€";"01/2010";"120 cv";"70.000 km";"Gasolina";"5 puertas";"450 cm";"156 cm";"182 cm";"1.440 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-308-sw-16-vti-sport-en-madrid.htm?id=2911737"
"1263";"Bmw Serie 3";"320d Touring
";"8.499€";"01/2008";"177 cv";"170.000 km";"Diesel";"5 puertas";"452 cm";"142 cm";"182 cm";"1.580 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-320d-touring-en-madrid.htm?id=2899160"
"1264";"Nissan Qashqai";"1.5dci N-connecta 4x2
";"19.300€";"07/2016";"110 cv";"4.963 km";"Diesel";"5 puertas";"438 cm";"159 cm";"181 cm";"1.365 kg";"https://www.coches.com/km0/seminuevo-nissan-qashqai-15dci-n-connecta-4x2-en-madrid.htm?id=2782188"
"1265";"Volkswagen Golf";"1.2 Tsi Bmt Edition 110
";"14.590€";"01/2017";"110 cv";"24.042 km";"Gasolina";"5 puertas";"426 cm";"145 cm";"180 cm";"1.210 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-12-tsi-bmt-edition-110-en-madrid.htm?id=2905138"
