"";"nombre";"subnombre";"precio";"year";"potencia";"km";"combustible";"puertas";"long";"alt";"anch";"peso";"url"
"516";"Volkswagen Tiguan";"2.0tdi Advance 150
";"26.090€";"03/2017";"150 cv";"14.547 km";"Diesel";"5 puertas";"449 cm";"163 cm";"184 cm";"1.568 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-tiguan-20tdi-advance-150-en-madrid.htm?id=2892547"
"517";"Audi A3";"1.6tdi Sport Edition 110
";"19.890€";"02/2017";"110 cv";"23.748 km";"Diesel";"3 puertas";"424 cm";"142 cm";"178 cm";"1.235 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-16tdi-sport-edition-110-en-madrid.htm?id=2766938"
"518";"Volkswagen Golf";"2.0 Tsi R Dsg 300
";"31.000€";"11/2014";"300 cv";"50.000 km";"Gasolina";"5 puertas";"428 cm";"144 cm";"180 cm";"1.495 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tsi-r-dsg-300-en-madrid.htm?id=2892906"
"519";"Mercedes Clase A";"A 200d 7g-dct
";"23.900€";"06/2017";"136 cv";"20.000 km";"Diesel";"5 puertas";"430 cm";"143 cm";"178 cm";"1.485 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-7g-dct-en-madrid.htm?id=2878948"
"520";"Smart Fortwo";"Coupé 66 Passion Aut.
";"10.850€";"02/2017";"90 cv";"15.000 km";"Gasolina";"3 puertas";"270 cm";"156 cm";"166 cm";"900 kg";"https://www.coches.com/coches-segunda-mano/ocasion-smart-fortwo-coupe-66-passion-aut-en-madrid.htm?id=2875894"
"521";"Ford C-max";"C-max 1.6tdci Trend 115
";"8.800€";"09/2012";"115 cv";"103.100 km";"Diesel";"5 puertas";"438 cm";"163 cm";"183 cm";"1.390 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-c-max-16tdci-trend-115-en-madrid.htm?id=2888206"
"522";"Audi A1";"Sportback 1.6tdi Attraction
";"15.000€";"01/2017";"116 cv";"28.141 km";"Diesel";"5 puertas";"397 cm";"142 cm";"175 cm";"1.250 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-madrid.htm?id=2826809"
"523";"Opel Insignia";"2.0cdti Edition Aut.160
";"9.900€";"08/2011";"160 cv";"126.356 km";"Diesel";"4 puertas";"483 cm";"150 cm";"186 cm";"1.503 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-20cdti-edition-aut160-en-madrid.htm?id=2741267"
"524";"Peugeot 208";"1.6 Bluehdi Like 75
";"8.950€";"05/2016";"75 cv";"37.423 km";"Diesel";"5 puertas";"397 cm";"146 cm";"174 cm";"1.150 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-16-bluehdi-like-75-en-madrid.htm?id=2875297"
"525";"Alfa Romeo Stelvio";"2.2 Speciale Awd Aut. 210
";"40.100€";"2018";"210 cv";"1 km";"Diesel";"5 puertas";"469 cm";"167 cm";"190 cm";"1.659 kg";"https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-speciale-awd-aut-210-en-madrid.htm?id=2900100"
"526";"Seat Alhambra";"2.0tdi Cr Eco. S&s Reference 150
";"22.900€";"02/2016";"150 cv";"22.089 km";"Diesel";"5 puertas";"485 cm";"172 cm";"190 cm";"1.798 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-alhambra-20tdi-cr-eco-s_s-reference-150-en-madrid.htm?id=2913663"
"527";"Seat León";"1.6tdi Cr S&s Reference 115
";"13.900€";"07/2017";"115 cv";"15 km";"Diesel";"5 puertas";"428 cm";"146 cm";"182 cm";"1.260 kg";"https://www.coches.com/km0/seminuevo-seat-leon-16tdi-cr-s_s-reference-115-en-madrid.htm?id=2913672"
"528";"Mini Mini";"Cooper S
";"19.900€";"11/2014";"192 cv";"26.000 km";"Gasolina";"3 puertas";"385 cm";"141 cm";"173 cm";"1.160 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-s-en-madrid.htm?id=2887973"
"529";"Opel Corsa";"1.4 Selective 90
";"8.490€";"02/2017";"90 cv";"18.161 km";"Gasolina";"5 puertas";"402 cm";"148 cm";"175 cm";"1.163 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa-14-selective-90-en-madrid.htm?id=2913517"
"530";"Seat León";"St 1.4 Tsi Act S&s Fr 150
";"16.900€";"12/2017";"150 cv";"10 km";"Gasolina";"5 puertas";"454 cm";"145 cm";"182 cm";"1.277 kg";"https://www.coches.com/km0/seminuevo-seat-leon-st-14-tsi-act-s_s-fr-150-en-madrid.htm?id=2913703"
"531";"Audi A1";"Sportback 1.6tdi Attraction
";"15.000€";"02/2017";"116 cv";"27.483 km";"Diesel";"5 puertas";"397 cm";"142 cm";"175 cm";"1.250 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-madrid.htm?id=2882319"
"532";"Audi A3";"Sedán 1.6tdi Cd Attraction S-tronic
";"18.890€";"02/2016";"110 cv";"22.952 km";"Diesel";"4 puertas";"446 cm";"142 cm";"180 cm";"1.365 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sedan-16tdi-cd-attraction-s-tronic-en-madrid.htm?id=2584376"
"533";"Bmw Serie 5";"535da Luxury
";"26.990€";"07/2013";"313 cv";"151.000 km";"Diesel";"4 puertas";"491 cm";"146 cm";"186 cm";"1.735 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-535da-luxury-en-madrid.htm?id=2882067"
"534";"Seat León";"2.0tdi Cr S&s Fr 150
";"14.900€";"10/2016";"150 cv";"28.975 km";"Diesel";"5 puertas";"428 cm";"146 cm";"182 cm";"1.305 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-20tdi-cr-s_s-fr-150-en-madrid.htm?id=2913716"
"535";"Seat Ibiza";"1.0 Ecotsi S&s Reference Plus 95
";"11.900€";"10/2017";"95 cv";"120 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.122 kg";"https://www.coches.com/km0/seminuevo-seat-ibiza-10-ecotsi-s_s-reference-plus-95-en-madrid.htm?id=2888104"
"536";"Alfa Romeo Giulietta";"1.6jtd Super 120
";"13.900€";"02/2017";"120 cv";"11.000 km";"Diesel";"5 puertas";"435 cm";"147 cm";"180 cm";"1.385 kg";"https://www.coches.com/coches-segunda-mano/ocasion-alfa+romeo-giulietta-16jtd-super-120-en-madrid.htm?id=2912099"
"537";"Renault Laguna";"G.t. 2.0dci En. Dynamique Tomtom 150
";"7.999€";"01/2012";"149 cv";"150.000 km";"Diesel";"5 puertas";"480 cm";"145 cm";"181 cm";"1.509 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-gt-20dci-en-dynamique-tomtom-150-en-madrid.htm?id=2888073"
"538";"Bmw Serie 4";"420da Gran Coupé
";"35.900€";"04/2017";"190 cv";"4.410 km";"Diesel";"5 puertas";"464 cm";"139 cm";"183 cm";"1.540 kg";"https://www.coches.com/km0/seminuevo-bmw-serie+4-420da-gran-coupe-en-madrid.htm?id=2595773"
"539";"Mercedes Clase A";"A 200cdi Be Urban 7g-dct
";"23.000€";"07/2016";"136 cv";"9.402 km";"Diesel";"5 puertas";"429 cm";"143 cm";"178 cm";"1.475 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200cdi-be-urban-7g-dct-en-madrid.htm?id=2900727"
"540";"Mercedes Clase C";"C 220d 7g Plus
";"32.500€";"06/2017";"170 cv";"9.809 km";"Diesel";"4 puertas";"469 cm";"144 cm";"181 cm";"1.570 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-220d-7g-plus-en-madrid.htm?id=2900722"
"541";"Volkswagen Golf";"1.6tdi Cr Bmt Edition 110
";"15.299€";"04/2016";"110 cv";"21.100 km";"Diesel";"3 puertas";"426 cm";"145 cm";"180 cm";"1.299 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-bmt-edition-110-en-madrid.htm?id=2490200"
"542";"Citroen Evasion";"2.1td X
";"2.490€";"01/1999";"110 cv";"115.000 km";"Diesel";"5 puertas";"445 cm";"0 cm";"182 cm";"1.690 kg";"https://www.coches.com/coches-segunda-mano/ocasion-citroen-evasion-21td-x-en-madrid.htm?id=2913508"
"543";"Mercedes Clase Gl";"Gl 350bluetec 4m Amg (14.75) Aut.
";"41.490€";"01/2014";"258 cv";"169.000 km";"Diesel";"5 puertas";"512 cm";"185 cm";"193 cm";"2.455 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gl-gl-350bluetec-4m-amg-1475-aut-en-madrid.htm?id=2899192"
"544";"Seat Ateca";"2.0tdi Cr S&s Xcellence 4d Dsg-7 190
";"28.900€";"07/2016";"190 cv";"23.990 km";"Diesel";"5 puertas";"436 cm";"161 cm";"184 cm";"1.589 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-20tdi-cr-s_s-xcellence-4d-dsg-7-190-en-madrid.htm?id=2751410"
"545";"Nissan Qashqai";"1.6dci Acenta 4x2
";"20.010€";"07/2017";"130 cv";"9.000 km";"Diesel";"5 puertas";"439 cm";"159 cm";"181 cm";"1.429 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-16dci-acenta-4x2-en-madrid.htm?id=2663899"
"546";"Volkswagen Golf";"Variant 2.0tdi Cr Bmt Advance 150
";"15.500€";"06/2015";"150 cv";"83.000 km";"Diesel";"5 puertas";"456 cm";"148 cm";"180 cm";"1.436 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-variant-20tdi-cr-bmt-advance-150-en-madrid.htm?id=2891624"
"547";"Nissan Qashqai";"1.6dci Acenta 4x2
";"20.900€";"04/2017";"130 cv";"214 km";"Diesel";"5 puertas";"439 cm";"159 cm";"181 cm";"1.429 kg";"https://www.coches.com/km0/seminuevo-nissan-qashqai-16dci-acenta-4x2-en-madrid.htm?id=2636857"
"548";"Renault Mégane";"S.t. 1.5dci Expression 110
";"8.175€";"03/2013";"110 cv";"109.000 km";"Diesel";"5 puertas";"456 cm";"151 cm";"180 cm";"1.302 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-15dci-expression-110-en-madrid.htm?id=2594901"
"549";"Hyundai I30";"I30 1.6crdi Style Sky 136
";"17.300€";"2017";"136 cv";"11.000 km";"Diesel";"5 puertas";"434 cm";"146 cm";"180 cm";"1.338 kg";"https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i30-16crdi-style-sky-136-en-madrid.htm?id=2644041"
"550";"Suzuki Vitara";"2.0 Hdi Superlujo Techo Metálico
";"3.500€";"2002";"90 cv";"229.000 km";"Diesel";"5 puertas";"0 cm";"0 cm";"0 cm";"1.865 kg";"https://www.coches.com/coches-segunda-mano/ocasion-suzuki-vitara-20-hdi-superlujo-techo-metalico-en-madrid.htm?id=2904521"
"551";"Fiat 500l";"500l 1.4 Pop Star
";"10.650€";"02/2017";"95 cv";"13.800 km";"Gasolina";"5 puertas";"415 cm";"167 cm";"178 cm";"1.245 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-500l-14-pop-star-en-madrid.htm?id=2562912"
"552";"Bmw Serie 3";"320d Coupé
";"10.900€";"2009";"177 cv";"224.000 km";"Diesel";"2 puertas";"458 cm";"140 cm";"178 cm";"1.420 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+3-320d-coupe-en-madrid.htm?id=2909515"
"553";"Fiat Panda";"1.2 Lounge
";"6.650€";"07/2016";"69 cv";"36.000 km";"Gasolina";"5 puertas";"365 cm";"155 cm";"164 cm";"940 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-madrid.htm?id=2905687"
"554";"Fiat Panda";"1.2 Lounge
";"6.650€";"07/2016";"69 cv";"36.000 km";"Gasolina";"5 puertas";"365 cm";"155 cm";"164 cm";"940 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-madrid.htm?id=2908325"
"555";"Alfa Romeo Giulia";"2.2 Diesel Veloce Q4 Aut. 210
";"33.100€";"2018";"210 cv";"1 km";"Diesel";"4 puertas";"464 cm";"145 cm";"186 cm";"1.374 kg";"https://www.coches.com/km0/seminuevo-alfa+romeo-giulia-22-diesel-veloce-q4-aut-210-en-madrid.htm?id=2900026"
"556";"Mercedes Clase Cla";"Cla 220d Amg Line 7g-dct 177
";"32.700€";"10/2017";"177 cv";"13 km";"Diesel";"4 puertas";"463 cm";"143 cm";"178 cm";"1.525 kg";"https://www.coches.com/km0/seminuevo-mercedes-clase+cla-cla-220d-amg-line-7g-dct-177-en-madrid.htm?id=2912859"
"557";"Ford Focus";"1.6 Ecoboost Auto-s&s Titanium
";"9.700€";"2011";"150 cv";"46.359 km";"Gasolina";"5 puertas";"436 cm";"148 cm";"182 cm";"1.333 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-16-ecoboost-auto-s_s-titanium-en-madrid.htm?id=2911148"
"558";"Mercedes Clase E";"E Coupé 250bluetec 9g-tronic
";"30.000€";"09/2014";"204 cv";"45.000 km";"Diesel";"2 puertas";"470 cm";"140 cm";"179 cm";"1.735 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-coupe-250bluetec-9g-tronic-en-madrid.htm?id=2888137"
"559";"Audi A5";"Cabrio 2.0tdi Multitronic 190
";"31.990€";"03/2015";"190 cv";"55.008 km";"Diesel";"2 puertas";"463 cm";"138 cm";"185 cm";"1.820 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-cabrio-20tdi-multitronic-190-en-madrid.htm?id=2820178"
"560";"Peugeot 208";"1.6bluehdi Allure 100
";"11.940€";"02/2017";"100 cv";"12.720 km";"Diesel";"5 puertas";"397 cm";"146 cm";"174 cm";"1.150 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-16bluehdi-allure-100-en-madrid.htm?id=2913516"
"561";"Audi Q2";"1.6tdi Design Edition 116
";"24.890€";"04/2017";"116 cv";"15.945 km";"Diesel";"5 puertas";"419 cm";"151 cm";"179 cm";"1.310 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-q2-16tdi-design-edition-116-en-madrid.htm?id=2912173"
"562";"Citroen C4";"1.6hdi Business 110
";"7.990€";"04/2012";"112 cv";"123.000 km";"Diesel";"5 puertas";"433 cm";"149 cm";"179 cm";"1.275 kg";"https://www.coches.com/coches-segunda-mano/ocasion-citroen-c4-16hdi-business-110-en-madrid.htm?id=2766933"
"563";"Volkswagen Golf";"Plus 1.6tdi Advance
";"11.990€";"06/2013";"105 cv";"64.675 km";"Diesel";"5 puertas";"420 cm";"159 cm";"176 cm";"1.446 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-plus-16tdi-advance-en-madrid.htm?id=2604264"
"564";"Audi A1";"Sportback 1.6tdi Attraction
";"16.990€";"03/2017";"116 cv";"8.955 km";"Diesel";"5 puertas";"397 cm";"142 cm";"175 cm";"1.250 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-madrid.htm?id=2828463"
"565";"Mini Mini";"Cooper S Cabrio
";"9.390€";"06/2005";"170 cv";"93.806 km";"Gasolina";"2 puertas";"364 cm";"142 cm";"169 cm";"1.240 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mini-mini-cooper-s-cabrio-en-madrid.htm?id=2907312"
"566";"Lexus Rx";"Rx 450h Executive Tecno
";"59.990€";"06/2016";"313 cv";"25.846 km";"Híbrido";"5 puertas";"489 cm";"164 cm";"190 cm";"2.200 kg";"https://www.coches.com/coches-segunda-mano/ocasion-lexus-rx-450h-executive-tecno-en-madrid.htm?id=2910393"
"567";"Ford Focus";"Sb. 2.0tdci Auto-s&s St 185
";"23.900€";"2016";"185 cv";"12.000 km";"Diesel";"5 puertas";"456 cm";"149 cm";"182 cm";"1.488 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-sb-20tdci-auto-s_s-st-185-en-madrid.htm?id=2540620"
"568";"Bmw Serie 1";"116d
";"19.990€";"03/2017";"116 cv";"17.224 km";"Diesel";"5 puertas";"433 cm";"142 cm";"177 cm";"1.320 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-116d-en-madrid.htm?id=2914044"
"569";"Peugeot 5008";"1.6hdi Active 115
";"11.990€";"04/2014";"115 cv";"76.919 km";"Diesel";"5 puertas";"453 cm";"162 cm";"184 cm";"1.430 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-5008-16hdi-active-115-en-madrid.htm?id=2883484"
"570";"Volkswagen Golf";"1.9tdi I 105
";"4.490€";"08/2008";"105 cv";"224.100 km";"Diesel";"5 puertas";"420 cm";"148 cm";"176 cm";"1.251 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-19tdi-i-105-en-madrid.htm?id=2900108"
"571";"Ford Kuga";"2.0tdci Titanium 4x4 163
";"15.900€";"09/2013";"163 cv";"103.000 km";"Diesel";"5 puertas";"452 cm";"169 cm";"184 cm";"1.692 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20tdci-titanium-4x4-163-en-madrid.htm?id=2859922"
"572";"Fiat Panda";"1.2 Lounge
";"6.650€";"06/2016";"69 cv";"37.000 km";"Gasolina";"5 puertas";"365 cm";"155 cm";"164 cm";"940 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-madrid.htm?id=2905688"
"573";"Fiat Panda";"1.2 Lounge
";"6.650€";"06/2016";"69 cv";"37.000 km";"Gasolina";"5 puertas";"365 cm";"155 cm";"164 cm";"940 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-madrid.htm?id=2909167"
"574";"Fiat Panda";"1.2 Lounge
";"6.650€";"06/2016";"69 cv";"37.000 km";"Gasolina";"5 puertas";"365 cm";"155 cm";"164 cm";"940 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-madrid.htm?id=2905692"
"575";"Fiat Panda";"1.2 Lounge
";"6.650€";"06/2016";"69 cv";"37.000 km";"Gasolina";"5 puertas";"365 cm";"155 cm";"164 cm";"940 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-madrid.htm?id=2908329"
"576";"Seat Arosa";"1.7 Sdi Street
";"1.200€";"1998";"60 cv";"206.800 km";"Diesel";"3 puertas";"0 cm";"0 cm";"164 cm";"955 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-arosa-17-sdi-street-en-madrid.htm?id=2877061"
"577";"Ford Focus";"1.6 Ti-vct Trend+ Powershift
";"12.900€";"2017";"125 cv";"10.370 km";"Gasolina";"5 puertas";"436 cm";"148 cm";"182 cm";"1.235 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-focus-16-ti-vct-trend+-powershift-en-madrid.htm?id=2760480"
"578";"Renault Clio";"Tce Eco2 Energy Limited
";"10.800€";"04/2017";"90 cv";"16.800 km";"Gasolina";"5 puertas";"406 cm";"145 cm";"173 cm";"1.009 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-tce-eco2-energy-limited-en-madrid.htm?id=2849250"
"579";"Mercedes Clase E";"E 220 Bt Avantgarde 9g-tronic
";"27.900€";"11/2015";"170 cv";"48.294 km";"Diesel";"4 puertas";"488 cm";"146 cm";"185 cm";"1.735 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-220-bt-avantgarde-9g-tronic-en-madrid.htm?id=2900747"
"580";"Audi A4";"2.0tdi Sport Edition 150
";"25.190€";"07/2016";"150 cv";"17.047 km";"Diesel";"4 puertas";"473 cm";"143 cm";"184 cm";"1.505 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a4-20tdi-sport-edition-150-en-madrid.htm?id=2866190"
"581";"Land Rover Discovery";"2.0sd4 Se Aut.
";"36.900€";"04/2017";"240 cv";"16.480 km";"Diesel";"5 puertas";"497 cm";"185 cm";"207 cm";"2.115 kg";"https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-se-aut-en-madrid.htm?id=2800120"
"582";"Mercedes Clase C";"C 220bluetec 7g Plus
";"30.900€";"03/2016";"170 cv";"12.905 km";"Diesel";"4 puertas";"469 cm";"144 cm";"181 cm";"1.570 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-220bluetec-7g-plus-en-madrid.htm?id=2900735"
"583";"Volkswagen Touareg";"2.5tdi R5 Tiptronic
";"8.900€";"04/2005";"174 cv";"144.000 km";"Diesel";"5 puertas";"475 cm";"173 cm";"193 cm";"2.214 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-touareg-25tdi-r5-tiptronic-en-madrid.htm?id=2912201"
"584";"Toyota Rav-4";"Rav-4 2.5 Hybrid 2wd Advance
";"28.750€";"2018";"197 cv";"1 km";"Híbrido";"5 puertas";"461 cm";"168 cm";"185 cm";"1.700 kg";"https://www.coches.com/km0/seminuevo-toyota-rav-4-25-hybrid-2wd-advance-en-madrid.htm?id=2875146"
"585";"Mercedes Clase Glk";"Glk 220cdi Be 4m Aut.
";"29.900€";"05/2015";"170 cv";"42.459 km";"Diesel";"5 puertas";"454 cm";"167 cm";"184 cm";"1.880 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+glk-glk-220cdi-be-4m-aut-en-madrid.htm?id=2900739"
"586";"Mercedes Clase B";"B 180 Cdi
";"17.490€";"04/2015";"109 cv";"63.000 km";"Diesel";"5 puertas";"439 cm";"156 cm";"179 cm";"1.420 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+b-b-180-cdi-en-madrid.htm?id=2908298"
"587";"Volkswagen Touran";"1.6tdi Cr Bmt Sport Dsg 115
";"19.690€";"03/2017";"115 cv";"19.089 km";"Diesel";"5 puertas";"453 cm";"166 cm";"183 cm";"1.560 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-touran-16tdi-cr-bmt-sport-dsg-115-en-madrid.htm?id=2892541"
"588";"Chevrolet Cruze";"1.6 Lt+ Clima
";"7.900€";"05/2011";"124 cv";"40.000 km";"Gasolina";"4 puertas";"460 cm";"148 cm";"179 cm";"1.285 kg";"https://www.coches.com/coches-segunda-mano/ocasion-chevrolet-cruze-16-lt+-clima-en-madrid.htm?id=2909186"
"589";"Peugeot 508";"1.6bluehdi Active 120
";"16.990€";"2016";"120 cv";"25 km";"Diesel";"4 puertas";"483 cm";"146 cm";"183 cm";"1.485 kg";"https://www.coches.com/km0/seminuevo-peugeot-508-16bluehdi-active-120-en-madrid.htm?id=2353062"
"590";"Volkswagen Golf";"1.6tdi Cr Advance Bmt Rabbit 105
";"10.500€";"11/2012";"105 cv";"111.701 km";"Diesel";"5 puertas";"420 cm";"148 cm";"178 cm";"1.314 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-advance-bmt-rabbit-105-en-madrid.htm?id=2905633"
"591";"Mercedes Clase C";"C 320cdi Avantgarde 4m Aut.
";"11.450€";"2007";"224 cv";"189.790 km";"Diesel";"4 puertas";"458 cm";"145 cm";"177 cm";"1.700 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+c-c-320cdi-avantgarde-4m-aut-en-madrid.htm?id=2893666"
"592";"Mercedes Clase Clc";"Clc 220cdi Aut.
";"11.900€";"01/2010";"150 cv";"153.000 km";"Diesel";"3 puertas";"445 cm";"141 cm";"173 cm";"1.550 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+clc-clc-220cdi-aut-en-madrid.htm?id=2909173"
"593";"Bmw Serie 5";"520da
";"32.000€";"12/2017";"190 cv";"25.456 km";"Diesel";"4 puertas";"494 cm";"148 cm";"187 cm";"1.560 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+5-520da-en-madrid.htm?id=2792582"
"594";"Seat León";"2.0tdi Cr S&s Style 150
";"17.900€";"08/2017";"150 cv";"10 km";"Diesel";"5 puertas";"426 cm";"146 cm";"182 cm";"1.305 kg";"https://www.coches.com/km0/seminuevo-seat-leon-20tdi-cr-s_s-style-150-en-madrid.htm?id=2913685"
"595";"Seat León";"1.2 Tsi S&s Style 110
";"12.200€";"03/2017";"110 cv";"25.952 km";"Gasolina";"5 puertas";"426 cm";"146 cm";"182 cm";"1.213 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-12-tsi-s_s-style-110-en-madrid.htm?id=2913715"
"596";"Maserati 3200";"Gt Aut.
";"18.995€";"2001";"370 cv";"110.000 km";"Gasolina";"2 puertas";"451 cm";"131 cm";"182 cm";"1.590 kg";"https://www.coches.com/coches-segunda-mano/ocasion-maserati-3200-gt-aut-en-madrid.htm?id=2897965"
"597";"Jeep Compass";"2.0crd Sport
";"6.999€";"01/2009";"140 cv";"199.000 km";"Diesel";"5 puertas";"441 cm";"163 cm";"181 cm";"1.610 kg";"https://www.coches.com/coches-segunda-mano/ocasion-jeep-compass-20crd-sport-en-madrid.htm?id=2905188"
"598";"Audi A3";"Sedán 1.6tdi Design Edition 110
";"20.890€";"01/2017";"110 cv";"21.707 km";"Diesel";"4 puertas";"446 cm";"142 cm";"180 cm";"1.265 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a3-sedan-16tdi-design-edition-110-en-madrid.htm?id=2905660"
"599";"Seat León";"1.2 Tsi S&s Style 110
";"12.200€";"03/2017";"110 cv";"26.107 km";"Gasolina";"5 puertas";"426 cm";"146 cm";"182 cm";"1.213 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-12-tsi-s_s-style-110-en-madrid.htm?id=2913691"
"600";"Nissan Juke";"1.6 Dig-t Edición Especial Kuro
";"10.890€";"11/2011";"190 cv";"91.614 km";"Gasolina";"5 puertas";"414 cm";"157 cm";"177 cm";"1.286 kg";"https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-16-dig-t-edicion-especial-kuro-en-madrid.htm?id=2877904"
"601";"Seat León";"1.6tdi Cr S&s Style 105
";"11.690€";"04/2014";"105 cv";"39.014 km";"Diesel";"5 puertas";"426 cm";"146 cm";"182 cm";"1.286 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-s_s-style-105-en-madrid.htm?id=2866754"
"602";"Seat Ibiza";"1.4 16v Stella
";"1.700€";"06/2001";"75 cv";"95.000 km";"Gasolina";"3 puertas";"388 cm";"142 cm";"164 cm";"920 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-14-16v-stella-en-madrid.htm?id=2903735"
"603";"Fiat Panda";"1.2 Lounge
";"6.650€";"06/2016";"69 cv";"38.000 km";"Gasolina";"5 puertas";"365 cm";"155 cm";"164 cm";"940 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-panda-12-lounge-en-madrid.htm?id=2909179"
"604";"Audi Q3";"2.0tdi Sport Edition 150
";"27.500€";"01/2017";"150 cv";"18.532 km";"Diesel";"5 puertas";"439 cm";"159 cm";"183 cm";"1.560 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-q3-20tdi-sport-edition-150-en-madrid.htm?id=2903686"
"605";"Opel Astra";"St 1.7cdti Sport
";"7.790€";"07/2012";"110 cv";"129.000 km";"Diesel";"5 puertas";"470 cm";"154 cm";"181 cm";"1.428 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-astra-st-17cdti-sport-en-madrid.htm?id=2910660"
